Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
163,163,2000-06-07 06:33:42,2000-06-07 06:33:43,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
164,164,2000-06-08 01:16:03,2000-06-08 01:16:16,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
165,165,2000-06-08 04:54:48,2000-06-08 04:54:49,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
166,166,2000-06-08 14:42:50,2000-06-08 14:42:51,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
167,167,2000-06-09 21:26:37,2000-06-09 21:26:41,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
168,168,2000-06-10 13:47:35,2000-06-10 13:47:36,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
169,169,2000-06-10 21:20:02,2000-06-10 21:20:03,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
170,170,2000-06-11 22:41:39,2000-06-11 22:41:40,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
171,171,2000-06-12 06:30:37,2000-06-12 06:30:38,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
172,172,2000-06-15 20:43:35,2000-06-15 20:43:36,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
173,173,2000-06-15 20:44:46,2000-06-15 20:44:47,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
174,174,2000-06-16 00:14:54,2000-06-16 00:14:57,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
175,175,2000-06-16 09:51:47,2000-06-16 09:51:51,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
176,176,2000-06-17 01:09:09,2000-06-17 01:09:10,underground_line,node713-704,RandEvent,SwingNode781,TLG,TLG,25,0
177,177,2000-06-18 05:32:32,2000-06-18 05:32:47,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
178,178,2000-06-18 12:52:27,2000-06-18 12:52:31,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
179,179,2000-06-18 15:05:59,2000-06-18 15:06:00,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
180,180,2000-06-18 20:34:43,2000-06-18 20:34:44,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
181,181,2000-06-19 06:49:15,2000-06-19 06:49:19,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
182,182,2000-06-20 16:00:18,2000-06-20 16:00:19,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
183,183,2000-06-22 15:24:51,2000-06-22 15:24:54,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
184,184,2000-06-26 21:36:35,2000-06-26 21:36:44,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
185,185,2000-06-27 01:37:21,2000-06-27 01:37:23,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
186,186,2000-06-27 19:26:01,2000-06-27 19:26:18,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
187,187,2000-06-28 06:21:35,2000-06-28 06:22:06,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
188,188,2000-06-28 15:50:54,2000-06-28 15:50:59,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
189,189,2000-06-30 18:11:14,2000-06-30 18:11:16,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
190,190,2000-07-01 05:03:21,2000-07-01 05:03:22,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
191,191,2000-07-03 08:59:43,2000-07-03 08:59:44,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
192,192,2000-07-04 02:29:06,2000-07-04 02:29:07,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
193,193,2000-07-05 21:53:53,2000-07-05 21:53:54,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
194,194,2000-07-06 08:30:46,2000-07-06 08:30:47,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
195,195,2000-07-06 22:43:51,2000-07-06 22:43:52,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
196,196,2000-07-07 00:53:38,2000-07-07 00:53:48,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
197,197,2000-07-07 02:37:39,2000-07-07 02:37:41,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
198,198,2000-07-08 02:26:14,2000-07-08 02:26:19,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
199,199,2000-07-09 10:54:48,2000-07-09 10:54:49,underground_line,node702-703,RandEvent,SwingNode781,TLG,TLG,25,0
200,200,2000-07-11 08:25:29,2000-07-11 08:27:32,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
