# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links,,,,,,,
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag,avg_real_curr
57819,0.09952,-0.003121,-0.08172,-0.133778,-2.122972,3.779461,-0.701724
57880,0.057365,-0.002284,-0.08172,-0.133778,-2.122972,3.779461,-0.715775666666667
T62463002948,0,0,-0.021684,-0.036321,0,0,-0.007228
57857,0.057365,-0.002284,-0.060036,-0.097457,-2.122972,3.779461,-0.708548
T62474181036,0,0,0,0,-0.547924,0.974468,-0.182641333333333
57849,0,0,0,0,-0.759716,1.353243,-0.253238666666667
57844,0,0,0,0,-0.759716,1.353243,-0.253238666666667
T62463000829,0,0,0,0,-0.006577,0.013081,-0.00219233333333333
57846,0,0,0,0,-0.75314,1.340162,-0.251046666666667
72108,0,0,0,0,-0.75314,1.340162,-0.251046666666667
T62463001814,0,0,0,0,-0.50683,0.901497,-0.168943333333333
57821,0,0,0,0,-0.24631,0.438666,-0.0821033333333333
T62463001769,0,0,0,0,-0.24631,0.438666,-0.0821033333333333
57845,0.057365,-0.002284,-0.060036,-0.097457,-0.815331,1.45175,-0.272667
T62474180122,0.028335,-0.000792,0,0,0,0,0.009445
57825,0.02903,-0.001492,-0.060036,-0.097457,-0.815331,1.45175,-0.282112333333333
57806,0.02903,-0.001492,-0.060036,-0.097457,-0.52279,0.931,-0.184598666666667
T62473238073,0,0,-0.014772,-0.0243,0,0,-0.004924
57824,0,0,-0.015721,-0.024556,0,0,-0.00524033333333333
T62473238126,0,0,-0.007861,-0.012278,0,0,-0.00262033333333333
57823,0,0,-0.007861,-0.012278,0,0,-0.00262033333333333
72522,0,0,-0.007861,-0.012278,0,0,-0.00262033333333333
T62473238283,0,0,-0.007861,-0.012278,0,0,-0.00262033333333333
57827,0.02903,-0.001492,-0.029543,-0.0486,-0.52279,0.931,-0.174434333333333
T62462058961,0.014515,-0.000746,0,0,0,0,0.00483833333333333
57830,0.014515,-0.000746,-0.029543,-0.0486,-0.52279,0.931,-0.179272666666667
57829,0.014515,-0.000746,-0.029543,-0.0486,-0.387065,0.688692,-0.134031
T62462058764,0,0,-0.014772,-0.0243,0,0,-0.004924
57803,0.014515,-0.000746,-0.014771,-0.0243,-0.387065,0.688692,-0.129107
T62462057695,0.014515,-0.000746,0,0,0,0,0.00483833333333333
57801,0,0,-0.014771,-0.0243,-0.387065,0.688692,-0.133945333333333
T62462057585,0,0,0,0,-0.387065,0.688692,-0.129021666666667
57800,0,0,-0.014771,-0.0243,0,0,-0.00492366666666667
T62462057478,0,0,-0.014771,-0.0243,0,0,-0.00492366666666667
T62462058873,0,0,0,0,-0.135725,0.242308,-0.0452416666666667
T62473239069,0,0,0,0,-0.292542,0.52075,-0.097514
T62463003904,0.042155,-0.000837,0,0,0,0,0.0140516666666667
57809,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
SW1139-Bx1,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
SW1139-Ax1,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57864,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57879,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57817,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57877,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
SW1420-Bx1,0.18384,-0.004791,-0.007862,-0.012278,0,0,0.0586593333333333
SW1420-Ax1,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57818,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
18432,0.18384,-0.004791,-0.007862,-0.012277,0,0,0.0586593333333333
57878,0.169324,-0.004046,0,0,0,0,0.0564413333333333
F6537,0.169324,-0.004046,0,0,0,0,0.0564413333333333
57866,0.169324,-0.004046,0,0,0,0,0.0564413333333333
T62474182459,0.042157,-0.000836,0,0,0,0,0.0140523333333333
57865,0.127167,-0.003209,0,0,0,0,0.042389
T62474181497,0.014516,-0.000745,0,0,0,0,0.00483866666666667
57858,0.112651,-0.002464,0,0,0,0,0.0375503333333333
T62474181443,0.055978,-0.000882,0,0,0,0,0.0186593333333333
57852,0.056673,-0.001582,0,0,0,0,0.018891
T62474180389,0.042157,-0.000836,0,0,0,0,0.0140523333333333
57847,0.014516,-0.000745,0,0,0,0,0.00483866666666667
T62474180356,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18374,0.014516,-0.000745,-0.007862,-0.012277,0,0,0.002218
17811,0.014516,-0.000745,-0.007862,-0.012277,0,0,0.002218
T62474181695,0,0,-0.007862,-0.012277,0,0,-0.00262066666666667
17934,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18216,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18217,0.014516,-0.000745,0,0,0,0,0.00483866666666667
17924,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18308,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18326,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18443,0.014516,-0.000745,0,0,0,0,0.00483866666666667
17888,0.014516,-0.000745,0,0,0,0,0.00483866666666667
F7423,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18410,0.014516,-0.000745,0,0,0,0,0.00483866666666667
T62474182678,0.014516,-0.000745,0,0,0,0,0.00483866666666667
18325,0,0,0,0,0,0,0
18318,0,0,0,0,0,0,0
17361,0.014519,-0.000745,-0.007864,-0.012273,0,0,0.00221833333333333
T62462172490,0.014519,-0.000745,0,0,0,0,0.00483966666666667
17230,0,0,-0.007864,-0.012273,0,0,-0.00262133333333333
T62462172379,0,0,-0.007864,-0.012273,0,0,-0.00262133333333333
16552,0,0,0,0,0,0,0
17387,0,0,0,0,0,0,0
17388,0,0,0,0,0,0,0
17210,4.592284,13.930508,12.016225,-7.013725,-13.862514,-3.65507,0.915332
68064,4.592284,13.930508,12.016225,-7.013725,-13.862514,-3.65507,0.915332
R1202,4.592284,13.930508,12.016225,-7.013725,-13.862514,-3.65507,0.915332
68065,4.592284,13.930508,12.016225,-7.013725,-13.862514,-3.65507,0.915332
70558,4.592284,13.930508,12.016225,-7.013725,-13.862514,-3.65507,0.915332
