HH.VEH.ID,VEHTYPE,URBUR,ARRHOME,DUR.HOME,DEPHOME,HHVEHMILES,ARRWORK,DUR.WORK,DEPWORK
1.062511e+07,1,1,1955,1105,700,3.888889e+01,740,9.250000e+02,1705
1.062528e+07,1,1,1805,1.235000e+03,640,1.644444e+01,655,8.050000e+02,1500
1.062719e+07,1,1,1540,1543,723,30,758,705,1503
1.062956e+07,4,2,1900,1200,700,35,842,948,1830
1.063003e+07,1,1,1810,1.210000e+03,620,36,655,1038,1733
1.063084e+07,1,1,1640,1400,640,76,825,635,1500
1.063407e+07,4,1,1800,1.420000e+03,820,12,855,835,1730
1.063441e+07,3,1,2351,1439,1430,20,1450,840,2330
1.063441e+07,4,1,1730,1300,630,16,655,1.005000e+03,1700
1.063609e+07,3,1,1700,1435,735,20,805,825,1630
1.063666e+07,1,1,2240,8.050000e+02,645,10,655,760,1455
1.063693e+07,4,1,1830,1200,630,91,750,8.550000e+02,1645
1.064058e+07,1,1,1715,1315,630,30,700,930,1630
1.064159e+07,3,1,1720,1440,800,12,820,840,1700
1.064301e+07,1,1,2145,900,645,23,715,800,1515
1.064315e+07,4,1,2340,2005,1945,16,815,615,1430
1.064478e+07,1,1,2320,8.400000e+02,800,1.450000e+01,1420,840,2300
1.064478e+07,1,1,1808,1342,750,26,813,8.270000e+02,1640
1.064586e+07,1,1,2000,930,530,13,550,1210,1800
1.064610e+07,1,1,1720,1410,730,10,750,9.100000e+02,1700
1.064643e+07,1,1,1800,1.425000e+03,825,16,900,730,1630
1.064672e+07,1,2,1800,1245,645,87,800,830,1630
1.064673e+07,1,1,1900,1330,830,23,930,900,1830
1.064896e+07,1,1,2320,1140,1100,2.283333e+01,1405,825,2230
1.065005e+07,1,2,1620,1555,815,16,835,725,1600
1.065072e+07,2,2,2100,1.150000e+03,850,44,800,8.200000e+02,1620
1.065078e+07,1,1,2051,1.009000e+03,700,24,722,1308,2030
1.065105e+07,3,1,2210,9.050000e+02,715,16,735,9.550000e+02,1730
1.065115e+07,1,1,1935,1255,830,1.061111e+01,845,945,1830
1.065163e+07,1,1,1800,1220,620,23,730,1000,1730
1.065255e+07,4,1,1734,1411,745,10,800,9.200000e+02,1720
1.065424e+07,1,1,1550,1440,630,22,650,8.400000e+02,1530
1.065439e+07,1,2,1715,1315,630,18,700,900,1600
1.065625e+07,4,1,2230,1.520000e+03,1350,4.750000e+01,720,600,1320
1.065669e+07,1,1,1950,1110,700,2.950000e+01,745,830,1615
1.065826e+07,4,1,2034,801,435,12,449,811,1300
1.065901e+07,1,1,1340,1535,515,16,530,755,1325
1.065927e+07,1,1,1804,1356,800,14,817,931,1748
1.066003e+07,1,1,2000,1155,755,2.955556e+01,835,850,1725
1.066280e+07,3,1,1755,1.255000e+03,650,12,705,1.035000e+03,1740
1.066312e+07,1,1,1530,1525,655,10,705,815,1520
1.066370e+07,4,2,1830,1130,600,58,700,900,1600
1.066487e+07,1,1,1945,1115,700,46,815,1015,1830
1.066651e+07,1,1,1820,1.305000e+03,725,10,802,843,1645
1.066777e+07,1,1,1723,1552,915,36,955,650,1645
1.066822e+07,1,1,1745,1320,705,30,735,9.250000e+02,1700
1.066877e+07,1,2,1710,1447,757,42,835,754,1629
1.066969e+07,4,1,1750,1255,645,14,740,915,1655
1.067039e+07,1,1,2130,930,700,42,800,900,1700
1.067105e+07,1,2,1632,1443,715,34,820,725,1545
1.067397e+07,1,2,1530,1300,430,66,530,635,1205
1.067433e+07,1,1,1840,9.400000e+02,420,28,450,9.100000e+02,1400
1.067457e+07,3,1,2000,1130,730,26,755,8.050000e+02,1600
1.067501e+07,1,1,1730,1400,730,1.133333e+01,800,900,1700
1.067553e+07,4,1,1545,1515,700,26,730,745,1515
1.067712e+07,1,1,1800,1300,700,68,800,900,1700
1.067785e+07,4,2,1720,1.420000e+03,740,18,800,900,1700
1.067801e+07,1,1,1900,1050,550,20,610,1220,1830
1.067874e+07,4,1,1500,1500,600,26,630,800,1430
1.067899e+07,1,1,2130,1000,730,1.711111e+01,745,1.010000e+03,1755
1.067899e+07,1,1,1700,1315,615,34,645,900,1545
1.067998e+07,4,1,2145,845,630,23,653,1007,1700
1.068114e+07,1,1,1805,1.414000e+03,819,36,855,824,1719
1.068334e+07,1,1,2000,1110,710,66,815,8.250000e+02,1640
1.068351e+07,1,1,1755,1245,640,13,705,1025,1730
1.068405e+07,1,1,2220,1.010000e+03,830,19,900,1000,1900
1.068856e+07,1,1,2235,1510,1345,24,1440,7.000000e+02,2140
1.069040e+07,1,2,2030,1045,715,26,815,1115,1930
1.069358e+07,1,1,1645,1430,715,14,735,8.500000e+02,1625
1.069438e+07,2,1,1530,1400,530,12,550,9.100000e+02,1500
1.069439e+07,4,1,1720,1.350000e+03,710,12,730,930,1700
1.069597e+07,1,1,1710,1220,530,22,555,620,1215
1.069600e+07,1,1,1815,1.420000e+03,835,18,857,900,1757
1.069668e+07,3,1,1945,1135,720,52,840,950,1830
1.069798e+07,1,1,2045,8.390000e+02,524,22,552,832,1424
1.069844e+07,1,1,1816,1249,705,16,721,1035,1756
1.070004e+07,3,1,2130,9.500000e+02,720,26,745,1320,2105
1.070006e+07,1,1,1800,1.420000e+03,820,10,845,845,1730
1.070077e+07,3,1,1655,1405,700,28,735,755,1530
1.070165e+07,1,1,1710,1420,730,13,750,8.400000e+02,1630
1.070281e+07,1,2,1815,1135,550,38,625,1105,1730
1.070545e+07,3,1,1555,1440,635,26,715,815,1530
1.070623e+07,2,1,1945,1155,740,10,800,700,1500
1.070716e+07,1,1,1940,1.360000e+03,940,5.055556e+01,640,8.500000e+02,1530
1.070729e+07,3,1,1852,1.333000e+03,825,1.033333e+01,850,940,1830
